fips,county,state,start_date,avg_delta_cases_per_100k
06075,San Francisco,California,2020-03-10,6.264055393424344
06001,Alameda,California,2020-03-10,6.320640597085346
06013,Contra Costa,California,2020-03-10,6.939462323320397
06041,Marin,California,2020-03-10,13.152230552519868
06055,Napa,California,2020-03-10,6.071589307317779
06081,San Mateo,California,2020-03-10,6.045713691432459
06085,Santa Clara,California,2020-03-10,5.2798183359584545
06095,Solano,California,2020-03-10,6.816410798536734
06097,Sonoma,California,2020-03-10,7.13145715418992
41051,Multnomah,Oregon,2020-03-10,4.236202831695377
41009,Columbia,Oregon,2020-03-10,1.404560618580799
41027,Hood River,Oregon,2020-03-10,5.368861057033998
41005,Clackamas,Oregon,2020-03-10,2.702267678549906
41067,Washington,Oregon,2020-03-10,3.6157129298379944
53033,King,Washington,2020-03-10,4.9151241483590775
53061,Snohomish,Washington,2020-03-10,4.261496719321628
53035,Kitsap,Washington,2020-03-10,2.1125964937757282
53037,Kittitas,Washington,2020-03-10,5.8297271239265465
53077,Yakima,Washington,2020-03-10,23.823256909770915
53053,Pierce,Washington,2020-03-10,4.252505787279372
53007,Chelan,Washington,2020-03-10,12.995402833611774
