fips,county,state,start_date,avg_delta_cases_per_100k
06075,San Francisco,California,2022-09-11,14.684227638583382
06001,Alameda,California,2022-09-11,13.545741362794871
06013,Contra Costa,California,2022-09-11,13.899206117398553
06041,Marin,California,2022-09-11,11.120031802803503
06055,Napa,California,2022-09-11,11.15606494946979
06081,San Mateo,California,2022-09-11,13.77927173639371
06085,Santa Clara,California,2022-09-11,15.34511597997633
06095,Solano,California,2022-09-11,13.72811694301376
06097,Sonoma,California,2022-09-11,9.836475781626623
41051,Multnomah,Oregon,2022-09-11,11.202651630415504
41009,Columbia,Oregon,2022-09-11,6.965176327241074
41027,Hood River,Oregon,2022-09-11,7.409358190180168
41005,Clackamas,Oregon,2022-09-11,9.68044158427073
41067,Washington,Oregon,2022-09-11,9.423498601428067
53033,King,Washington,2022-09-11,9.855581351452859
53061,Snohomish,Washington,2022-09-11,10.541289926835372
53035,Kitsap,Washington,2022-09-11,8.67649973771785
53037,Kittitas,Washington,2022-09-11,7.2061195683910935
53077,Yakima,Washington,2022-09-11,7.956917003904615
53053,Pierce,Washington,2022-09-11,11.098391805714813
53007,Chelan,Washington,2022-09-11,8.219606325588737
